,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort
ALL,10.6091793232081,3.212296829203304,0.5319744204636291,1.2833733013589128,0.9555022648547828,1.108646416200373,1.1484812150279775,444.91810484945375,18505.26609645617
PASS,9.662703654777632,2.7996477322765303,0.4914134742404227,1.2906208718626155,0.8626155878467635,1.3205636283575517,0.7120211360634082,357.4029282254514,10357.556305592248
FAIL,10.777882426811082,3.2858488344713916,0.5392041441017189,1.2820814692724276,0.9720587081076838,1.0708735578055097,1.2262773722627738,460.5171132564164,19957.542129346202
