error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort
Abstract-Type Instantiation,9.714472822527833,3.100196463654224,0.4931237721021611,1.426981008513425,1.1964636542239686,1.2730844793713163,1.1971185330713818,417.6057432874918,15092.203464309103
Access Control,9.331472435450104,3.044661549197488,0.5010467550593162,0.90648988136776,0.6294487090020935,1.1318911374738312,1.3230983949755757,356.3960223307746,11137.995896720167
Constexpr/Enum/Assert/Literal,12.607476635514018,3.2476635514018692,0.5607476635514018,1.7009345794392523,1.4626168224299065,1.0,0.7523364485981309,529.1871028037383,21616.55331775701
Construction/Initialization,8.814239482200648,2.8420711974110033,0.4355987055016181,0.8841423948220065,0.6453074433656958,1.04789644012945,1.3093851132686085,352.10280906148864,12470.700653721684
Deleted/Special Member,13.953333333333333,3.928,0.676,1.2653333333333334,0.9013333333333333,1.1346666666666667,1.16,626.5108133333333,29101.93304
Functions/Call Resolution,10.020050125313283,3.082706766917293,0.5150375939849624,1.218045112781955,0.9110275689223057,0.9385964912280702,1.1466165413533835,444.31812030075184,16859.48189223058
Incomplete Type,7.6028301886792455,2.4674528301886793,0.38254716981132075,0.910377358490566,0.7221698113207548,1.118867924528302,1.1391509433962264,292.7415377358491,8946.754966981132
Lexical,16.197344153448913,4.591294725193656,0.7583917373662855,2.00147547030616,1.5721136112135743,0.8126152711176687,1.4234599778679453,646.3942641091849,22574.6869863519
Linker,18.30534351145038,4.343511450381679,0.9312977099236641,2.3206106870229006,0.9847328244274809,0.816793893129771,1.2595419847328244,982.1145038167939,54041.57786259542
Operator/Call,17.14240506329114,4.651898734177215,0.8765822784810127,1.8575949367088607,1.3512658227848102,0.7943037974683544,1.2373417721518987,766.3790189873417,35107.618955696205
Override/Inheritance,11.26856884057971,3.5443840579710146,0.5964673913043478,1.3084239130434783,0.9728260869565217,0.998641304347826,1.4927536231884058,488.1038224637681,18058.906476449276
Pointer/Reference Misuse,11.186813186813186,3.8461538461538463,0.5054945054945055,1.4945054945054945,1.2307692307692308,0.9010989010989011,2.4395604395604398,496.31813186813184,15519.84
Qualifier/Specifier Missuse,4.2712871287128715,1.6504950495049504,0.20297029702970298,0.6564356435643565,0.3584158415841584,0.6603960396039604,0.5217821782178218,161.3099603960396,4739.264396039604
Symbol/Lookup,9.434816148110054,2.9664438158909747,0.4605296991514528,1.1846232964772434,0.869889431730522,1.064412445358704,0.9751864232450501,400.7027539213165,17103.8668783749
Syntactic,11.577810505645557,3.2056946489936182,0.5390279823269514,1.3357879234167893,0.970054000981836,0.9165439371624938,1.1124202258222877,600.3258713794796,42056.87263622975
Templates/Generics,9.519774011299434,2.711864406779661,0.4519774011299435,1.2146892655367232,0.8757062146892656,0.3559322033898305,0.6836158192090396,356.45440677966104,9672.520169491525
This/Non-Static Member/Using Misuse,9.634146341463415,2.8780487804878048,0.5060975609756098,1.146341463414634,0.8384146341463414,1.3780487804878048,1.1219512195121952,362.9848475609756,12560.110030487804
Type Conversion/Reference Binding,10.240997229916898,2.982456140350877,0.5013850415512465,1.240073868882733,0.9566020313942751,1.0009233610341643,1.2049861495844876,419.6790581717451,13809.13352723915
Type Redefinition/Redeclaration,11.032432432432433,3.308108108108108,0.572972972972973,1.3945945945945946,0.9405405405405406,1.4486486486486487,1.0756756756756756,444.13962162162164,14278.023189189189
