,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
loc,2.353087e-02,3.885850e-02,6.055526e-01,5.448119e-01,-5.263039e-02,9.969212e-02
cc,-2.555122e-02,2.583728e-02,-9.889284e-01,3.226982e-01,-7.619136e-02,2.508892e-02
nested_depth,-1.965056e-02,1.757682e-02,-1.117981e+00,2.635749e-01,-5.410050e-02,1.479938e-02
params,-1.464723e-01,2.120143e-02,-6.908604e+00,4.894459e-12,-1.880263e-01,-1.049182e-01
object_params,1.532893e-01,2.109853e-02,7.265402e+00,3.719305e-13,1.119370e-01,1.946417e-01
fan_in,-7.088161e-02,1.067807e-02,-6.638057e+00,3.178452e-11,-9.181023e-02,-4.995298e-02
fan_out,1.478493e-01,1.787666e-02,8.270517e+00,1.333797e-16,1.128116e-01,1.828869e-01
halstead_effort,-2.614850e-03,2.774591e-02,-9.424273e-02,9.249163e-01,-5.699583e-02,5.176613e-02
