,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort
ALL,10.17665145804404,3.086589962309066,0.49513985320372944,1.271176353898036,0.9212457845665543,1.1250743900019837,0.9733187859551676,420.8561832969649,16901.25015572307
PASS,9.857770675189773,3.0703156212544944,0.5025968837395126,1.2790651218537754,0.894526568118258,1.3733519776268477,0.9978026368357971,407.96109868158214,18009.632934478625
FAIL,10.49113475177305,3.10263987391647,0.48778565799842394,1.2633963750985027,0.9475965327029157,0.880220646178093,0.9491725768321513,433.573439716312,15808.152403467298
